obs.ID,Date,Time,Observer,Reporter,Light.Level,Hand.No,Species,Age.ID,Mass.g,Substrate.Temp.C,Animal.Temp.C,Time.in.Bucket.s,No.of.Pictures,Photo.IDs,Comments
1,1/21/22,15:33:00,DH_NS,AKB,high,1,R_capito,juvenile_6A,10.84,15.1,12.1,140,1,100-0015,***added age.ID and mass.g (but not at end like on sheet)
2,1/21/22,15:37:00,DH_NS,AKB,high,,R_capito,juvenile_6A,10.84,14.5,11.5,120,1,100-0017,"***should empty cells stay empty or ""N/A""??"
3,1/21/22,15:42:00,DH_NS,AKB,high,2,R_capito,juvenile_6A,10.84,14.2,10.8,140,2,100-0020; 100-0021,***should I keep this or do a row per data? So 2 rows for this one (both under obs.id 3)
4,1/21/22,15:45:00,DH_NS,AKB,high,3,R_capito,juvenile_6A,10.84,14.1,10.5,4,0,,
5,1/21/22,15:46:00,DH_NS,AKB,high,4,R_capito,juvenile_6A,10.84,14.1,10.6,95,0,,
6,1/21/22,16:00:00,DH_NS,AKB,high,1,R_capito,juvenile_6B,9.96,14.7,12.9,80,0,,6A & 6B are tank 6
7,1/21/22,16:04:00,DH_NS,AKB,high,,R_capito,juvenile_6B,9.96,14.1,13.5,78,0,,
8,1/21/22,16:09:00,DH_NS,AKB,high,3,R_capito,juvenile_6B,9.96,14,12.3,130,1,100-0044,
9,1/21/22,16:13:00,DH_NS,AKB,high,5,R_capito,juvenile_6B,9.96,14.1,12.2,65,0,,
10,1/21/22,16:17:00,DH_NS,AKB,high,1,R_capito,juvenile_6B,9.96,14.3,12.5,81,1,100-0048,
11,1/21/22,16:30:00,DH_NS,AKB,high,1,R_capito,adult_1,58.65,14.4,13.3,82,0,,adult_1 - left (smaller) frog
12,1/21/22,16:35:00,DH_NS,AKB,high,2,R_capito,adult_1,58.65,13,11.9,83,0,,
13,1/21/22,16:37:00,DH_NS,AKB,high,3,R_capito,adult_1,58.65,13.9,12,74,2,100-0055; 100-0056,
14,1/21/22,16:44:00,DH_NS,AKB,high,4,R_capito,adult_1,58.65,14,11.7,86,1,100-0058,
15,1/21/22,16:47:00,DH_NS,AKB,high,0,R_capito,adult_1,58.65,14.5,11.7,70,1,100-0061,
17,1/25/22,10:03:00,DH,DH,high,,R_capito,adult_1,58.65,19.6,17.7,79,1,100-0065,skipped obs.ID 16 (no data)
18,1/25/22,10:08:00,DH,DH,high,2,R_capito,adult_1,58.65,19.7,17.7,77,2,100-0067; 100-0068,
19,1/25/22,10:16:00,DH,DH,high,,R_capito,adult_1,58.65,19.7,18,84,2,100-0071; 100-0072,
20,1/25/22,10:23:00,DH,DH,high,4,R_capito,adult_1,58.65,19.4,19.2,93,0,,
